Receiver_ID,Name,avg_quantity_per_claim
9,Emily Turner,50.0
28,Mary Franklin,50.0
99,Nancy Silva,50.0
102,Daniel Burton,50.0
585,Mark Lewis,50.0
739,Nancy Jones,50.0
982,Thomas Villanueva,50.0
63,David Turner,49.0
94,Timothy Patel DVM,49.0
400,John Byrd,49.0
772,Cassandra Yoder,49.0
901,Donald Caldwell,49.0
339,Dustin Johnson,48.0
375,Melissa Smith,48.0
831,Samantha Ellison,48.0
880,Kristen Foster,48.0
221,Rebecca Goodman,47.0
385,William Barnes,47.0
688,Jeffrey Turner,47.0
738,Matthew Morgan,47.0
768,Mary Wilson,47.0
832,Kylie Young,47.0
458,Michael Vargas,46.0
610,Jimmy Morton,46.0
785,Melissa Lee,46.0
800,Anthony Garcia,46.0
876,Jeremy Robinson,46.0
936,Jacob Horton,46.0
32,Audrey Perez,45.0
138,Christina Potter,45.0
164,Aaron Scott,45.0
324,Kristine Martin,45.0
560,Matthew Mendez,45.0
735,Kyle Scott,45.0
454,Steven Griffin,44.5
15,Donald Kelly,44.0
330,Kimberly Hamilton,44.0
350,Sylvia Stanley,44.0
467,Nathan Gonzales,44.0
918,Katrina Cruz,44.0
52,Cheryl Dillon,43.0
452,Tina Banks,43.0
574,Mr. William Hunt,43.0
810,Cody Meyer,43.0
42,Maria Jacobs,42.0
192,Rhonda King,42.0
329,Christine Patterson,42.0
389,Kelly Buchanan,42.0
789,Laura Robertson,42.0
844,Andrew Gray,42.0
601,Peter Gonzalez,41.5
112,Brady Lopez,41.0
306,Donna Williams,41.0
442,Natasha Harper,41.0
586,Amy Barker,41.0
199,Ashley Rivers,40.0
308,Robin Pena,40.0
473,Justin Powell,40.0
570,Anthony Cochran,40.0
745,Jose Vance,40.0
838,Jessica Stephens,40.0
27,Johnny Page,39.0
97,Nathan May,39.0
341,Anna Buckley,39.0
487,Micheal Peterson,39.0
507,Destiny Maldonado,39.0
902,Michelle Riley,39.0
926,Kimberly Ware,39.0
246,Kristi Wagner,38.0
376,John Reeves,38.0
543,Brenda Green,38.0
104,Victor Reyes,37.0
382,Patricia Stevens,37.0
492,Julie Lewis,37.0
650,Nicholas Peterson,37.0
242,Matthew Pearson,36.0
292,Mrs. Emily Smith DVM,36.0
859,Dana Williams,36.0
865,Katherine Houston,36.0
990,Patricia Hardy,36.0
1,Donald Gomez,35.5
44,Andrew Lawson,35.0
276,Scott Hunter,35.0
572,Diana Blair,35.0
674,Stephen Harris,35.0
807,Taylor Miller,35.0
875,Scott Smith,35.0
950,Caitlin Bennett,35.0
995,Brittany Taylor,35.0
407,Arthur Thomas,34.5
10,Mary Salazar,34.0
223,David Henderson,34.0
293,Randy Roach,34.0
337,Jennifer Schmidt,34.0
526,Brian Morales,34.0
541,Amy Brown,34.0
797,Robert Becker,34.0
912,Katelyn Proctor,34.0
45,Derek Potter,33.0
525,Michael Dixon,33.0
742,Matthew Webb,33.0
438,Jane Davis,32.5
613,Renee Campbell,32.5
103,Karen Cruz,32.0
145,David Hull,32.0
267,Randall Robbins,32.0
342,Kristina Vargas,32.0
417,Justin Santos,32.0
637,Benjamin Soto,32.0
962,Donald Anderson,32.0
7,Kenneth Baker,31.0
213,Kelly Barber,31.0
272,Walter Carter,31.0
354,Kimberly Nelson,30.5
905,Ann Odonnell,30.5
195,John Martin,30.0
569,Danny Randolph,30.0
795,Caitlin Cobb,30.0
854,Christopher Diaz,30.0
320,Carmen Barker,29.0
835,Jennifer Wright,29.0
414,Dr. Matthew Hughes DDS,28.5
128,Sarah Carter,28.0
151,Lisa Eaton,28.0
189,Stephen Smith,28.0
211,Judy Griffith,28.0
216,Morgan Massey,28.0
