Receiver_ID,Name,total_quantity_claimed
45,Derek Potter,99
454,Steven Griffin,89
601,Peter Gonzalez,83
306,Donna Williams,82
473,Justin Powell,80
482,Timothy Garrett,80
1,Donald Gomez,71
407,Arthur Thomas,69
742,Matthew Webb,66
438,Jane Davis,65
613,Renee Campbell,65
342,Kristina Vargas,64
637,Benjamin Soto,64
354,Kimberly Nelson,61
505,Alexandra Owens,61
905,Ann Odonnell,61
414,Dr. Matthew Hughes DDS,57
368,Debra Murray,55
423,Christine Bell,54
729,David Spence,54
806,James Miller,53
600,Bruce Alexander,52
168,Kayla Johnson,51
849,Kyle Johnson,51
9,Emily Turner,50
28,Mary Franklin,50
99,Nancy Silva,50
102,Daniel Burton,50
105,Trevor Wilson,50
585,Mark Lewis,50
590,Terry Fernandez,50
739,Nancy Jones,50
982,Thomas Villanueva,50
63,David Turner,49
94,Timothy Patel DVM,49
400,John Byrd,49
420,Susan Green,49
772,Cassandra Yoder,49
901,Donald Caldwell,49
339,Dustin Johnson,48
375,Melissa Smith,48
831,Samantha Ellison,48
880,Kristen Foster,48
221,Rebecca Goodman,47
269,Mrs. Paula Jones,47
385,William Barnes,47
495,Andrea Meyer,47
688,Jeffrey Turner,47
738,Matthew Morgan,47
768,Mary Wilson,47
832,Kylie Young,47
458,Michael Vargas,46
610,Jimmy Morton,46
785,Melissa Lee,46
786,Robert Kim,46
800,Anthony Garcia,46
876,Jeremy Robinson,46
936,Jacob Horton,46
32,Audrey Perez,45
138,Christina Potter,45
164,Aaron Scott,45
324,Kristine Martin,45
440,Alexander Walsh,45
560,Matthew Mendez,45
735,Kyle Scott,45
15,Donald Kelly,44
330,Kimberly Hamilton,44
350,Sylvia Stanley,44
467,Nathan Gonzales,44
781,Jason Taylor,44
918,Katrina Cruz,44
52,Cheryl Dillon,43
452,Tina Banks,43
574,Mr. William Hunt,43
810,Cody Meyer,43
850,Kristopher Mendoza,43
42,Maria Jacobs,42
192,Rhonda King,42
329,Christine Patterson,42
389,Kelly Buchanan,42
789,Laura Robertson,42
844,Andrew Gray,42
112,Brady Lopez,41
442,Natasha Harper,41
586,Amy Barker,41
843,Glenn Anthony,41
199,Ashley Rivers,40
308,Robin Pena,40
570,Anthony Cochran,40
745,Jose Vance,40
747,Vanessa Johnson,40
838,Jessica Stephens,40
27,Johnny Page,39
97,Nathan May,39
341,Anna Buckley,39
487,Micheal Peterson,39
507,Destiny Maldonado,39
538,Ronald Norton,39
902,Michelle Riley,39
